Replicate,Target,Top25,n_klan,n_racial_electoral,n_state_terror
41,terrorism,"arkansas, brazen, refer, amendment_constitution, color_voter, foreign_consul, provincial, bloodshe, test_oath, indictment, uncommon, fraud, disclose, intima_nation, ann, riot_tumult, bidding, legislature_elect, enormous_burden, warehouse_parish, committees, session, heretofore, congressional, intimidation_violence",0,4,0
41,terrorist,"unskilled_labor, unjust, reign_terror, virtual, sympathizer, anarchy, aggression, harmonise, radically_wrong, secret, radio, violence, dodge, violence_intimidation, propaganda, unnatural, restrain, pressure, repression, improbable, unaccustomed, poll, approbation, colored_voter, quarante",0,1,2
42,terrorism,"unendurable, enfranchise, careful_deliberation, democrat_republican, ste, arkansas, municipal_election, intimidation_violence, blaine, brazen, beneficial_effect, titus, ado, republican_majority, fair_election, sov_element, comparatively_safe, insert, rev_henry, linger, randall, electoral, pennsylvania_republican, thirteenth, vigorous_measure",0,3,0
42,terrorist,"arkansas_mississippi, immature, judiciary, espionage, letter_carrier, mississippi_louisiana, smack, salad, object_attain, radically_wrong, ratio, brute_force, forcibly, fruit, needy, juvenile, barber_shop, merely, passport, catholicism, stringent, tyrannical, reservation, systematically, vicious",0,0,1
43,terrorism,"seek_overthrow, tranquility, dictate_conscience, vast_number, proprietary, unawares, protectorate, limitation, impassable, eloquence, total_ignorance, relations, susan, alliance, implore, diplomat, ridiculous, baser, italy_austria, constantly, transform, refund, really, holmes, race_nationality",0,0,0
43,terrorist,"approbation, landlordism, oppressive, selection_jury, repression, quarante, utter_confusion, brute_force, compensate, reign_terror, speculator, soothe, seem_likely, freebooter, lawless, fatally, legalize, persecution, perpetrate, armed_band, rotten, elsewhere, evildoer, brutally_murder, deter",0,0,3
44,terrorism,"serious_doubt, neatly, peterson, florida_louisiana, bidding, tov, found_principle, louisiana_mississippi, weeks, missouri_kentucky, throw_light, naught, established, aix, legally_qualified, arkansas, exultation, virginia_north_carolina, aroma, maryland_kentucky, alabama, confirmation, accumulation, postal_revenue, gorge",0,3,0
44,terrorist,"itchy, mississippi_louisiana, lawless, repression, tyranny, inevitably, public_school, decent_citizen, deprive, slain, violence, strong_feeling, benevolent_association, violent_resistance, impunity, coercion, espionage, unequal_contest, browbeat, contribute, gigantic, thoroughly_arouse, carnival, reign_terror, total",0,0,3
45,terrorism,"intelligent_patriotic, dethrone, acquaint, calcutta, imputed, ungenerous, secessionist, ex_pet, seat_house_commons, bidding, installation, governmental_power, calumny, sepoy, cruiser, tadpole, adherence, sacrum, greed, found, ere, delegates, enunciation, severance, longed",0,0,0
45,terrorist,"widespread, rent_payment, strong_feeling, immature, terrified, solitary_confinement, political_agitation, rationally, vicious, brute_force, arkansas_mississippi, mississippi_louisiana, slovenly, diabolical, condemnation, fatally, forcibly, statute_authorize, espionage, mining, impunity, extension, enslavement, radically_wrong, coercion",0,0,1
